city_norm,pm25_mean,population_2024,n_obs
Alsip,2.3,18486.0,8
Alton,3.0,24967.0,8
Aurora,1.6,180710.0,8
Bondville,4.143627470588235,382.0,17
Braidwood,3.403703666666667,6245.0,9
Cary,3.104629666666667,18031.0,9
Champaign,1.8,91961.0,8
Chicago,2.3333333333333335,2721308.0,24
Cicero,2.5,82090.0,8
Decatur,2.901851888888889,68763.0,9
Des Plaines,3.2101852222222225,58832.0,9
Jerseyville,3.706944444444445,8350.0,9
Joliet,3.308333333333333,151837.0,9
Lansing,4.006018555555555,28107.0,9
Naperville,3.408796333333333,153124.0,9
Normal,3.0509259444444448,53304.0,18
Northbrook,2.688235294117647,34546.0,17
Peoria,3.1092592222222226,111696.0,9
Rockford,3.410185222222222,147486.0,9
Schiller Park,3.718872529411765,11325.0,17
Summit,2.5,10761.0,16
Wood River,4.0074074444444445,10251.0,9
