state,city,population_2024
Illinois,Abingdon City,2871.0
Illinois,Addieville Village,253.0
Illinois,Addison Village,35728.0
Illinois,Adeline Village,75.0
Illinois,Albany Village,851.0
Illinois,Albers Village,1123.0
Illinois,Albion City,1868.0
Illinois,Aledo City,3522.0
Illinois,Alexis Village,755.0
Illinois,Algonquin Village,30539.0
Illinois,Alhambra Village,602.0
Illinois,Allendale Village,443.0
Illinois,Allenville Village,130.0
Illinois,Allerton Village,253.0
Illinois,Alma Village,305.0
Illinois,Alpha Village,653.0
Illinois,Alsey Village,183.0
Illinois,Alsip Village,18486.0
Illinois,Altamont City,2200.0
Illinois,Alton City,24967.0
Illinois,Altona Village,451.0
Illinois,Alto Pass Village,305.0
Illinois,Alvan (Alvin) Village,224.0
Illinois,Amboy City,2224.0
Illinois,Anchor Village,160.0
Illinois,Andalusia Village,1167.0
Illinois,Andover Village,539.0
Illinois,Anna City,4165.0
Illinois,Annawan Town,860.0
Illinois,Antioch Village,15108.0
Illinois,Apple River Village,333.0
Illinois,Arcola City,2915.0
Illinois,Arenzville Village,358.0
Illinois,Argenta Village,880.0
Illinois,Arlington Village,165.0
Illinois,Arlington Heights Village,75596.0
Illinois,Armington Village,304.0
Illinois,Aroma Park Village,653.0
Illinois,Arrowsmith Village,271.0
Illinois,Arthur Village,2269.0
Illinois,Ashkum Village,716.0
Illinois,Ashland Village,1188.0
Illinois,Ashley City,447.0
Illinois,Ashmore Village,627.0
Illinois,Ashton Village,939.0
Illinois,Assumption City,1123.0
Illinois,Astoria Town,887.0
Illinois,Athens City,1903.0
Illinois,Atkinson Town,930.0
Illinois,Atlanta City,1634.0
Illinois,Atwood Village,1097.0
Illinois,Auburn City,4453.0
Illinois,Augusta Village,539.0
Illinois,Aurora City,180710.0
Illinois,Ava City,547.0
Illinois,Aviston Village,2434.0
Illinois,Avon Village,671.0
Illinois,Baldwin Village,315.0
Illinois,Banner Village,158.0
Illinois,Bannockburn Village,1377.0
Illinois,Bardolph Village,204.0
Illinois,Barrington Village,10615.0
Illinois,Barrington Hills Village,4080.0
Illinois,Barry City,1253.0
Illinois,Bartelso Village,639.0
Illinois,Bartlett Village,40718.0
Illinois,Bartonville Village,5836.0
Illinois,Basco Village,77.0
Illinois,Batavia City,26555.0
Illinois,Batchtown Village,158.0
Illinois,Bath Village,265.0
Illinois,Baylis Village,165.0
Illinois,Bay View Gardens Village,353.0
Illinois,Beach Park Village,14212.0
Illinois,Beardstown City,5803.0
Illinois,Beaverville Village,292.0
Illinois,Beckemeyer Village,923.0
Illinois,Bedford Park Village,585.0
Illinois,Beecher Village,4727.0
Illinois,Beecher City Village,423.0
Illinois,Belgium Village,344.0
Illinois,Belknap Village,86.0
Illinois,Belle Prairie City Town,46.0
Illinois,Belle Rive Village,300.0
Illinois,Belleville City,40560.0
Illinois,Bellevue Village,1903.0
Illinois,Bellflower Village,335.0
Illinois,Bellmont Village,239.0
Illinois,Bellwood Village,18132.0
Illinois,Belvidere City,25325.0
Illinois,Bement Village,1452.0
Illinois,Benld City,1407.0
Illinois,Bensenville Village,18629.0
Illinois,Benson Village,404.0
Illinois,Bentley Town,26.0
Illinois,Benton City,6578.0
Illinois,Berkeley Village,5155.0
Illinois,Berlin Village,142.0
Illinois,Berwyn City,55152.0
Illinois,Bethalto Village,9183.0
Illinois,Bethany Village,1198.0
Illinois,Biggsville Village,287.0
Illinois,Big Rock Village,1086.0
Illinois,Bingham Village,61.0
Illinois,Bishop Hill Village,112.0
Illinois,Bismarck Village,569.0
Illinois,Blandinsville Village,550.0
Illinois,Bloomingdale Village,22622.0
Illinois,Bloomington City,79232.0
Illinois,Blue Island City,21805.0
Illinois,Blue Mound Village,1090.0
Illinois,Bluffs Village,597.0
Illinois,Bluford Village,604.0
Illinois,Bolingbrook Village,74756.0
Illinois,Bondville Village,382.0
Illinois,Bone Gap Village,177.0
Illinois,Bonfield Village,342.0
Illinois,Bonnie Village,364.0
Illinois,Bourbonnais Village,18083.0
Illinois,Bowen Village,447.0
Illinois,Braceville Village,722.0
Illinois,Bradford Village,662.0
Illinois,Bradley Village,15298.0
Illinois,Braidwood City,6245.0
Illinois,Breese City,4629.0
Illinois,Bridgeport City,1686.0
Illinois,Bridgeview Village,16559.0
Illinois,Brighton Village,2164.0
Illinois,Brimfield Village,770.0
